ID	X (L93)	Y (L93)	nom_commune	insee_comm	m_source	type	statut	caracterise	commentaire	photo	date	amphibien	reptile	odonate	invertebre aquatique	faune_autre	poisson	anatide	faune_aucun	type_de_mare	evolution	abreuvoir_amenage	abreuvoir_non_amenage	collecte_ruissellement	peche	chasse	reserve_incendie	ornemental	biodiversite	patrimoine	pedagogique	abandonne	lagunage	usage_inconnu	pompe_a_nez	dechets	topo	contexte_1	contexte_2	petit_patrimoine_bati	cloture	haie	forme	Longueur	largeur	profondeur	nature_fond	berges	bourrelet	pietinement	regime	liaison_reseau	alim_specifique	turbidite	helophytes	hydrophytes_enracines	hydrophytes_non_enracines	algues	eau_libre	fond_exonde	boisement	ombrage	presence_faune_exotique	presence_flore_exotique	travaux_aucun 	curage	profilage_berge	bucheronnage	debroussaillage	pose_de_cloture	abreuvoir	lutte_contre_EEE	nettoyage_dechets	arrachage	fonctionnement_hydraulique	fauchage tardif	travaux_autre	objectifs_des_travaux
76391_0630	1548718	8238724	LA LONDE	76391	ONF_2008	mare	public	oui	mare_seche_ou_pas_trouvee	NC	23_10_2017	non	non	non	non	non	non	non	oui	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	aucun	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76391_0631	1549097	8239506	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0631_im1	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	3	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	patatoide	11	10	15	naturel	12,5	non	localise	mare_permanente	aucun	indetermine	trouble	5	0	75	0	15	5	12,5	NC	non	NC	non	oui	non	non	non	non	oui	non	non	non	non	non	non	conservation_mare
76391_0632	1549089	8239540	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0632_im1/76391_0632_im2	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	non	non	non	oui	non	non	NC	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	10	8	15	naturel	62,5	non	localise	mare_permanente	aucun	aucune	trouble	40	0	5	0	25	30	12,5	12,5	non	NC	non	oui	non	non	non	non	non	non	non	oui	non	non	non	conservation_mare
76391_0634	1548997	8238304	LA LONDE	76391	ONF_2008	mare	public	oui	mare_seche	76391_0634_im1	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	NC	ordures_menageres_dechets_recyclables	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	25	21	0	naturel	100	non	faible_a_nul	indeterminee	aucun	aucune	NC	0	0	0	0	0	100	100	82,5	NC	NC	non	non	non	non	non	non	non	non	oui	non	non	non	non	NC
76391_0639	1549086	8237293	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0639_im1/76391_0639_im2	25_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	ordures_menageres_dechets_recyclables	plateau	bois_de_feuillus	NC	aucun	non	non	patatoide	25	23	80	naturel	62,5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	20	20	60	0	0	0	100	37,5	NC	NC	non	oui	non	non	non	non	non	non	oui	non	non	non	non	NC
76391_0718	1548664	8238657	LA LONDE	76391	ONF_2008	mare	public	oui	prelevement_eau_impossible	76391_0718_im1/76391_0718_im2/76391_0718_im3/76391_0718_im4	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	24	22	0	naturel	12,5	non	faible_a_nul	mare_permanente	NC	aucune	NC	1	99	0	0	0	0	12,5	37,5	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0720	1548628	8237949	LA LONDE	76391	ONF_2008	mare	public	oui	flaque_au_bord_d_une_depression_avec_bois_mort	76391_0720_im1/76391_0720_im2	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	versant	bois_de_feuillus	NC	aucun	non	non	carre_rectangle	8	7	15	naturel	100	non	faible_a_nul	mare_temporaire	aucun	aucune	trouble	0	0	0	0	0	100	100	100	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0721	1547787	8238863	LA LONDE	76391	ONF_2008	mare	public	oui	mare_seche_ou_pas_trouvee	NC	23_10_2017	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	aucun	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
76391_0722	1547892	8238915	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0722_im1/76391_0722_im2/76391_0722_im3	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	2	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	10	10	15	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	0	0	90	0	10	0	100	82,5	NC	NC	non	non	non	non	non	non	non	non	non	non	non	non	oui	enlever_souches
76391_0723	1547906	8238875	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0723_im1/76391_0723_im2/76391_0723_im3/76391_0723_im4	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	2	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	8	9	15	naturel	62,5	oui	faible_a_nul	mare_permanente	fosse_noue	aucune	trouble	5	0	75	0	20	0	12,5	82,5	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0725	1545849	8239753	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0725_im1/76391_0725_im2/76391_0725_im3	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	17	12	0	inconnu	0	NC	localise	mare_permanente	aucun	aucune	trouble	0	0	20	0	0	80	32,5	62,5	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0862	1549058	8239562	LA LONDE	76391	CREA_2008	mare	public	oui	mare_comblee	76391_0862_im1	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	NC	non	non	non	non	non	non	non	non	non	non	oui	non	non	non	aucun	plateau	NC	NC	aucun	non	NC	ronde_ovale	10	8	0	naturel	32,5	non	faible_a_nul	NC	NC	aucune	NC	NC	NC	NC	NC	NC	NC	62,5	82,5	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0863	1549089	8239524	LA LONDE	76391	CREA_2008	mare	public	oui	mare_comblee	76391_0863_im1	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	non	non	non	oui	non	non	NC	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	3	2	NC	naturel	62,5	non	NC	NC	NC	NC	NC	10	0	0	0	0	90	100	62,5	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
